module,backend endpoint,HTTP method,existing API wrapper,web page,web route,mobile screen,mobile route,permission,implementation status,E2E status,notes
auth,/auth/login,POST,apps/web/src/auth (inline),LoginPage,/login,LoginScreen,Login,public,WIRED,NONE,Staff web + mobile login share Nest auth
auth,/auth/refresh|logout|logout-all|me,POST|GET,apps/web/src/auth,SettingsPage,/settings,N/A,N/A,authenticated,WIRED,NONE,Session bootstrap; mobile uses same client
auth,/auth/bootstrap-admin|forgot-password|reset-password,POST,N/A,N/A,N/A,N/A,N/A,public,N/A,NONE,Ops/bootstrap only; no product UI
health,/health|/health/operations,GET,apps/web/src/company-admin/api.ts (health),SystemHealthPage,/administration/system-health,N/A,N/A,audit.view,WIRED,NONE,Version/ops health panel
version,/version,GET,apps/web/src/company-admin/api.ts,SystemHealthPage,/administration/system-health,N/A,N/A,audit.view,WIRED,NONE,Build metadata on system health page
rbac,/rbac/me/permissions,GET,apps/web/src/auth + rbac-admin/api.ts,All guarded routes,N/A,N/A,N/A,authenticated,WIRED,SMOKE,Permission catalog drives RegistryRouteGuard
rbac,/rbac/roles CRUD + permissions + clone,GET|POST|PATCH,apps/web/src/rbac-admin/api.ts,RolesPage|RoleDetailPage|RoleCreatePage|RoleEditPage,/administration/roles*,N/A,N/A,role.view|role.create|role.update,WIRED,NONE,Full role admin wired in remediation
rbac,/rbac/users/:userId/roles,POST,apps/web/src/user-admin/api.ts,UserDetailPage,/users/:userId,N/A,N/A,user.update,WIRED,NONE,Role assignment from user admin
users,/users CRUD + activate/deactivate/reset-password/projects,GET|POST|PATCH|DELETE,apps/web/src/user-admin/api.ts,UsersPage|UserDetailPage|UserCreatePage|UserEditPage,/users*,N/A,N/A,user.view|user.create|user.update,WIRED,NONE,Project assignment on user detail
company,/companies/primary|:id + statutory/capital/logo/history,GET|PATCH|POST,apps/web/src/company-admin/api.ts,CompanyOverviewPage|CompanySettingsPage,/administration/company*,N/A,N/A,company.view,WIRED,NONE,Company profile + settings
